name,address,cross_street_reference,ward,contact_name,phone,phone_extension,email,website
Children's Garden Junior School - Early Start,670 Eglinton Ave E,Eglinton E./Bayview,Don Valley West,Marie Bates,416-423-5017,,,childrensgardenschool.com
Children's Garden Nursery School,1847 Bayview Ave,Bayview Ave/Eglinton Ave E,Don Valley West,Pauline Foulkes,416-488-4298,,,
Children's Land Learning Centre Inc.,297 Old Kingston Rd,,Scarborough-Rouge Park,Yinna Wu,416-826-1412,,,
Children's Magic Moments Child Care And Nursery School,98 Braemar Ave,Avenue Rd./Eglinton W.,Toronto-St. Paul's,Francesca Adamo,416-488-0114,,,childrensmagicmoments.com
Children's Playgarden /Toronto Military Family Resource Centre,5 Yukon Lane,William R. Allen/Sheppard W.,York Centre,Colleen Marback,416-633-6200,4312,,familyforce.ca
Children's Primary Centre,177 Beverley St,Beverley/College,University-Rosedale,Stephanie Ling,416-977-1204,,,
Children's Village Day Care Centre #1,1050 Markham Rd,Markham/Ellesmere,Scarborough-Guildwood,Enza Diminno,416-438-3355,,,edukids.ca
Children's Village Day Care Centre #3,225 Markham Rd,Markham/Eglinton E.,Scarborough-Guildwood,Sadia Noori,416-267-9677,,,
Children Are People Education,"272 Codsell Ave, 3rd Floor",Sheppard/Wilson Heights,York Centre,Heather Silverson,416-633-8831,,,icsg.ca
Children Of Tomorrow,425 McCowan Rd,McCowan Rd/Eglinton Ave E,Scarborough Centre,Maltee Ramkissoon,416-261-9893,,,
Children Of Tomorrow - John McCrae,431 McCowan Rd,Danforth Rd/Eglinton,Scarborough Centre,Nicola Greenland,416-261-9893,,,
Childspace Day Care Corporation # 1 (50 Woodmount),50 Woodmount Ave,Danforth Ave./Woodbine,Beaches-East York,Charlotte Risk,416-425-7763,,,
Childspace Day Care Corporation # 2 (690 Carlaw),690 Carlaw Ave,Carlaw/Danforth Ave,Toronto-Danforth,Rochelle Davis,416-469-0560,,,
Childspace Day Care Corporation # 3 (49 Felstead Avenue),49 Felstead Ave,Danforth Ave./Greenwood,Toronto-Danforth,Jannatul Ferdous,416-469-9766,,,
Chine Drive Licensed Before And After School Program,51 Chine Dr,,Scarborough Southwest,Sanaa Maher,416-281-0262,230,,
Churchill Chums School Age Child Care Centre,188 Churchill Ave,Senlac/Finch,Willowdale,Catherine Di Domenico,416-221-5923,,,
Church Street School Day Care Service Inc.,83 Alexander St,Church/Carlton,Toronto Centre,Marteina Slewa,416-925-1197,,,churchstreetccc.org
City Kids Early Learning & Child Care Centre,34 Bathurst St,Bathurst/Front St. W.,Spadina-Fort York,Amrit Bains,416-392-0932,,,toronto.ca/children/telccs
Clairlea Child Care Centre,25 Rosalind Cres,,Scarborough Southwest,Michelle Wang,416-389-2925,,,
Clearview Child Care Centre,"1300 Don Mills Rd, 211-215, 201",Don Mills Rd/Bond Avenue,Don Valley East,Dongzhen Pang,647-898-1883,,,
Cliffwood Community Child Care,140 Cliffwood Rd,Don Mills/Steeles E.,Don Valley North,Nancy Wilson,416-490-8848,,,cliffwoodchildcare.ca
Cole Street Early Learning & Child Care Centre,10 Cole St,Parliament/Dundas,Toronto Centre,Zorica Macos,416-392-5866,,,toronto.ca/children/telccs
Columbus Early Learning Centres,340 Falstaff Ave,Keele/Hwy. 401,York South-Weston,Courtney Scott,416-819-2186,,,columbuscentre.org
Columbus Early Learning Centres - Regina Mundi,60 Playfair Ave,Dufferin/Lawrence,Eglinton-Lawrence,Tina Fraga,416-789-7011,222,,
Columbus Early Learning Centres - St Charles,50 Claver Ave,Lawrence Ave W/Dufferin St,Eglinton-Lawrence,Ana Carina Costa,416-717-0355,,,
Columbus Early Learning - St Raphael,3 Gade Dr,Keele St/Wilson St,York Centre,Ronalyn Doria,416-819-2186,,,
Community Centre 55-Adam Beck,400 Scarborough Rd,Victoria Park/Gerrard E.,Beaches-East York,Narni Santos,416-691-1113,231,,centre55.com
Community Centre 55 - Children Services (97 Main Street),97 Main St,Main/Gerrard,Beaches-East York,Narni Santos,416-691-1113,231,,centre55.com
Community Centre 55 - Kimberly Public School,50 Swanwick Ave,Main/Gerrard,Beaches-East York,Narni Santos,416-691-1113,231,,centre55.com
Community Centre 55 -Ted Reeves Arena,175 Main St,Main/Gerrard,Beaches-East York,Narni Santos,416-691-1113,231,,
Cottingham Child Care Centre,85 Birch Ave,Yonge/Summerhill,Toronto-St. Paul's,Eric Mackey,416-929-6841,,,
Cougar Court Child Care Centre 15,"3225 Eglinton Ave E, 109",Eglinton E./Markham,Scarborough-Guildwood,Kathy Mitchell,416-267-0366,,,
Cougar Court Child Care Centre 25,"3225 Eglinton Ave E, 109",Eglinton E./Markham,Scarborough-Guildwood,Kathy Mitchell,416-267-0366,,,
Courtleigh Place Child Care Centre,135 Fenelon Dr,Don Mills/York Mills,Don Valley East,Maria Hosein,416-446-2875,,,
Coxwell Early Learning & Child Care Centre,1631 Queen St E,Queen E./Coxwell,Beaches-East York,Jordan Oneil,416-392-5076,,,toronto.ca/children/telccs
Creative Minds Montessori Academy,"285 Lawson Rd, Unit 101",,Scarborough-Rouge Park,Mohamed Shaideen,647-347-6068,,,creativemindsmontessoriacademy.ca
Crestview School Age Program YMCA,101 Seneca Hill Dr,Don Mills/Finch,Don Valley North,Sham Dhanji,416-225-7773,440,,
Curious Caterpillars - College View,28 College View Ave,Avenue Rd/Eglinton Ave W,Toronto-St. Paul's,Marcia Ferreira,647-344-8681,,,curiouscaterpillars.ca
Curious Caterpillars - Petman Avenue,87 Petman Ave,Eglinton/Mt. Pleasant,Don Valley West,Ashley Cammisa,647-501-7386,,,curiouscaterpillars.ca
Curlew Montessori School,81 Curlew Dr,Lawrence E./Victoria Park,Don Valley East,Raihana Mohideen,416-385-7373,,,curlewmontessori.com
Dalemount Child Care,101 Englemount Ave,Glencairn Ave./Bathurst,Eglinton-Lawrence,Nancy Kuipers,416-781-9493,,,
Dandylion Childcare Centre,53 Donlands Ave,Donlands/Danforth Ave.,Toronto-Danforth,Patrina Stathopoulos,416-469-0091,,,dandylion.ca
Danforth Early Learning & Child Care Centre,1125 Danforth Ave,Danforth Ave./Greenwood Ave.,Toronto-Danforth,Sandrina Barrock-Lavia,416-392-5070,,,toronto.ca/children/telccs
Danforth Gardens Playcare,20 Santamonica Blvd,Birchmount Rd/Danforth Rd,Scarborough Southwest,Bridgette Rivaldo,416-755-9215,252,,
Davenport Perth Early Learning & Child Care Centre,1900 Davenport Rd,Old Weston Rd./Davenport,Davenport,Miroslawa Sokolicz,416-392-5066,,,toronto.ca/children/telccs
David Lewis Jr YMCA,130 Fundy Bay Blvd,Birchmount/McNicoll,Scarborough-Agincourt,Yvonne Lin,416-490-1624,,,
Davisville Care Programme Inc.,50 Davisville Ave,,Toronto-St. Paul's,Lizbeth Lascano,416-487-7479,,,
Dawes Road Centre For Early Learning,391 Dawes Rd,Dawes Rd/Victoria Park,Beaches-East York,Sabrina Pallotta,416-755-8348,221,,
Daystrom Childcare Centre,25 Daystrom Dr,,Humber River-Black Creek,Eftychia Ntanou,647-289-1392,,,
Dearham Wood Daycare,66 Dearham Wood,Galloway Rd./Guildwood Prky.,Scarborough-Guildwood,Jessica Finlay,416-283-7207,,,dearhamwooddaycare.com
Denisa Childcare,1065 College St,,Davenport,Ilda Dukaj,416-535-2228,,,denisachildcare.com
Denlow Community Child Care Centre,50 Denlow Blvd,Leslie/York Mills,Don Valley West,Katherine Cheung,416-443-9394,,,denlowchildcare.ca
Denton Place Centres For Early Learning Inc.,30 Denton Ave,Danforth Ave./Victoria Park,Scarborough Southwest,Rose Ganzon,416-686-6445,221,,
Derrydown School Age YMCA,120 Derrydown Rd,Keele/Finch,Humber River-Black Creek,Rockey Persaud,437-225-8035,,,ymcagta.org
Dewson Street YMCA,65 Concord Ave,College St./Ossington,Davenport,Maxine Chodorowicz,416-536-1166,440,,
Dian Childcare Centre Inc.,283 Pharmacy Ave,Pharmacy/Danforth Ave.,Scarborough Southwest,Dorothy Amaechi,416-615-1141,,,
Discovering Minds Montessori Preschool Inc.,"828 Richmond St W, 100",Queen St W And Strachan Ave,Spadina-Fort York,Guadalupe Rengifo,416-504-0110,,discovering@dmmps.com,dmmps.com
Discovery Place Child Care Centre Ltd.,22 Tuxedo Crt,Markham/Hwy. 401,Scarborough-Guildwood,Arlene Rottine,416-439-0521,,,smartchild.ca
Distillery District Early Learning Centre,8 Distillery Lane,Front St. E./Parliament,Spadina-Fort York,Susana De Sousa,416-360-4042,,,distillerydistrictelc.com
Donald C. Macdonald Child Care Centre,116 Industry St,Black Creek/Trethewey Dr.,York South-Weston,Warsame Suad,416-769-2328,,,lefca.org
Don Mills Children's Centre,33 Kern Rd,Don Mills/York Mills,Don Valley East,Najma Jabeen,416-386-9744,,,
Don Valley Christian Child Care,25 Axsmith Cres,Don Mills/Van Horne,Don Valley North,Lisa Mathieu,416-491-6485,,,
Dover Gardens Nursery School,228 Bartlett Ave,Dupont St./Dufferin St.,Davenport,Nikki Pimentel,416-533-7337,,,dovergardens.ca
Downsview Child Care Centre,159 Sir William Hearst Ave,Keele St/Wilson Avenue,York Centre,Daniela Rodriguez-Iacchetta,647-722-8593,,,
"Downtown Alternative School, Extended Day Program",85 Lower Jarvis St,,Spadina-Fort York,,,,,
"Downtown Kids Academy, Inc.","905 King St W, Suite 101",King W./Strachan Ave.,Spadina-Fort York,Tracy Lund-Pedersen,416-345-9973,,,downtownkids.com
Downtown Montessori At Coatsworth (Formerly Ward Nine -Coatsworth),11 Coatsworth Cres,Coxwell/Danforth Ave.,Beaches-East York,Diana Atkinson,416-694-9444,,,daycareconnection.net
Downtown Montessori At Concord City Place,335 Bremner Blvd,Spadina/Bremner,Spadina-Fort York,Irene Irwin,416-623-1738,,,daycareconnection.net
Downtown Montessori At Infinity Place (Day Care Connection),26 Grand Trunk Cres,Bremner Blvd/Simcoe,Spadina-Fort York,Jerrica Paez,416-849-3691,,,daycareconnection.net
Downtown Montessori At Simcoe Place,200 Front St W,Front/Simcoe,Spadina-Fort York,Susan Servinos,416-340-8757,,,daycareconnection.net
Dr Eric Jackman Institute Of Child Study Laboratory School Nursery,45 Walmer Rd,,University-Rosedale,Chris Bogert,416-934-4512,,,
Dublin Heights Community Child Care,100 Bainbridge Ave,Sheppard W/Wilson Heights Bl,York Centre,Regina Wong,416-638-0612,0,,dhccc.ca
Dunlace Children's Centre,20 Dunlace Dr,Leslie/York Mills,Don Valley West,Sandra Wright-Weathered,416-445-7976,,,
Dunloe Children's Centre,78 Dunloe Rd,Spadina/Eglinton W.,Toronto-St. Paul's,Lisa Cohen,416-483-6559,,,
Earl Haig Community Day Care (15 Earl Haig Avenue),15 Earl Haig Ave,Danforth Ave./Coxwell,Beaches-East York,Kim Smith,416-694-9572,101,,
Early Adventures Nursery School & Child Care,200 Melrose St,Royal York/Evans,Etobicoke-Lakeshore,Jenny Lewis,416-251-5151,,,
Early Enrichment Day Care (St. John's West Toronto),288 Humberside Ave,Humberside/High Park,Parkdale-High Park,Theressa Amaral,416-762-8125,,,
Early Foundations Learning Centre,25 Thunder Grove,,Scarborough North,Aaida Ilizirov,416-299-0547,,,earlyfoundationslearningcentre.ca
Early Years Education System (E.Y.E.S),3000 Victoria Park Ave,Victoria Park/Finch Ave. E,Don Valley North,Alyona Gadzevych,416-498-5437,,,eyeschildcare.com
East Scarb. Boys' & Girls' Club - Eastside Child Care Centre,20 Waldock St,Galloway Rd./Kingston Rd.,Scarborough-Guildwood,Keisha Smith,416-287-0007,,,
East Scarb. Child Care Centre - East Scarb. Boys & Girls Club,230 Morningside Ave,Morningside/Lawrence E.,Scarborough-Guildwood,Keisha Smith,416-287-0007,,,
Eastside Club Day Care - 100 Galloway Road,100 Galloway Rd,,Scarborough-Guildwood,Savita Joseph,416-281-0262,238,,
East Toronto Village Children's Centre,43 Kimberley Ave,Gerrard/Main,Beaches-East York,Laurel Costa,416-694-1733,,,easttorontovillage.com
East York Montessori School,"486 Cosburn Ave, 484",,Toronto-Danforth,Melissa Petridis,416-888-3535,,,
Eco Kids-Child Care Centre Inc.,"1315 Kipling Ave, 601-1",Kipling Ave/Prince George Dr,Etobicoke Centre,Tracy Rocero,647-425-3245,,,ecokidschildcare.ca
"Ecole Bannockburn Public School, Extended Day Program",12 Bannockburn Ave,Wilson/Avenue Road,Eglinton-Lawrence,,,,,
Edgeley Early Learning & Child Care Centre,405 Driftwood Ave,Jane/Driftwood,Humber River-Black Creek,Nicola Wright,416-392-6271,,,toronto.ca/children/telccs
Educare Kindergarten - Islington,2825 Islington Ave,Islington/Finch W.,Humber River-Black Creek,Crystal Teeluck,416-749-0415,,,
Eh To Zed Preschool Canada Early Learning Academy,"3 Concorde Gate, 108",,Don Valley East,Dina Musa,416-447-6474,,,preschoolcanada.com
Eitz Chaim Schools Vm,2742 Bathurst St,,Eglinton-Lawrence,Marzel Limor,416-789-4366,,,
Elkhorn Junior Y - (YMCA),10 Elkhorn Dr,Bayview/Sheppard,Don Valley North,Rakhi Bhattacharya,647-985-4560,,,
"Ellesmere-Statton Public School, Extended Day Program",739 Ellesmere Rd,Birchmount/Ellesmere,Scarborough Centre,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Emery Early Learning & Child Care Centre,3395 Weston Rd,Finch/Weston Rd.,Humber River-Black Creek,Amandeep Kaur Dhanoa,416-392-3370,,,toronto.ca/children/telccs
Engaging Minds Child Care,"29 Gervais Dr, 104",Wynford Dr/Don Mills Rd,Don Valley East,Kevin Wijesingha,647-830-4435,,,engagingmindschildcare.com
Enjoy Learning Centre,"27 Passmore Ave, Unit #1",Steeles E./Kennedy Rd.,Scarborough-Agincourt,Cecilia Ho-Leung,416-840-8488,,,
Enquiring Minds Montessori,24 Progress Ave,,Scarborough Centre,George Petropoulos,416-298-9938,,,enquiringmindsmontessori.com
Enriched Child Care Learning Centre,"6030 Bathurst St, Suite 115",Bathurst/Steeles W.,York Centre,Nadia Yaqub,416-650-5355,,,
Epiphany Of Our Lord Jr YMCA,3150 Pharmacy Ave,Pharmacy Ave./Finch Ave. E.,Scarborough-Agincourt,Ann-Marie Sawyer,416-493-3008,,,
Ernie Boccia Creative Child Day Care (Rasheda Alli),1 Northwestern Ave,Keele/Eglinton W.,York South-Weston,Samantha Hamid,416-653-6305,,,
Esterbrooke Child Care,"35 Esterbrooke Ave, Suite 111",Don Mills/Sheppard E.,Don Valley North,Fatemeh Ashtari,416-492-1109,,,
Ethennonnhawahstihnen Child Care Centre,100 Ethennonnhawahstihnen Lane,Leslie St/Sheppard Ave E,Don Valley North,Clermont Viviane,416-221-1116,,,
Etobicoke Montessori School,4 La Rose Ave,Eglinton W./Scarlett Rd.,Etobicoke Centre,Christina Zentena,416-246-9896,,,etobicokemontessorischool.ca
Eyes Abacus Child Care,20 Chichester Pl,,Scarborough-Agincourt,Niwsha Parsaeian,416-497-1474,,,
Eyet - Crescent Town Centre,2A The Market Pl,Victoria Park Ave/Danforth Av,Beaches-East York,Sara Stringer,647-696-4777,,,eyetfrp.ca
"Eyet Early Learning Centre,  Crescent Town Elementary School","4 Massey Sq, Rms 135 & 136",Victoria Park/Danforth Ave.,Beaches-East York,Christine Bouffard,416-690-0349,,,eyetfrp.ca
Eyet Early Learning Centre (Annies Place),"101 Barrington Ave, 120",Danforth Ave./Main,Beaches-East York,Razia Chowdhury,647-258-9988,,,eyetfrp.ca
Eyet Early Learning Centre (Tom's Place),"80 Sackville St, Room 105",Queen/Parliament,Toronto Centre,Jinnat Basher,416-668-7087,,,eyetfrp.ca
Fairbank Memorial Day Care Centre,555 Harvie Ave,Eglinton/Dufferin,Davenport,Ashraf Rahim,416-656-8675,,,
Fairmount Sunshine Child Care,31 Sloley Rd,Kingston Rd./McCowan,Scarborough Southwest,Kamilah States,416-265-3572,,,
Faith Lutheran Day Care Centre Of Downsview,96 Hucknall Rd,Finch/Keele,Humber River-Black Creek,Carron Allen,416-633-4718,,,
Falstaff Early Learning & Child Care Centre,10 Falstaff Ave,Jane/Wilson,York South-Weston,Tammy Lynn Borden,416-392-5688,,,toronto.ca/children/telccs
Family Day Kennedy Extended Day & School Age Program,20 Elmfield Cres,Warden Ave And Steeles Ave E,Scarborough-Agincourt,Shanthinie Edwards,416-297-9660,,,
Family Day Kingslake Before And After School Program,90 Kingslake Rd,,Don Valley North,Beth Brown,437-778-3521,,,
Family Day Muirhead Extended Day And School Age Program,25 Muirhead Rd,,Don Valley North,Beth Brown,437-778-3521,,,
Family Day North Agincourt Before And After School Program,60 Moran Rd,,Scarborough North,Beth Brown,437-778-3521,,,
Family Day Sacred Heart Toronto Before And After School Program,75 Hupfield Trail,,Scarborough-Rouge Park,Ivorie Pinto,416-298-6521,,,
Family Day St Barnabas Child Care Centre,30 Washburn Way,,Scarborough North,Ivorie Pinto,416-298-6521,,,
Family Day Thomas L Wells Extended Day And School Age Program,69 Nightstar Rd,,Scarborough-Rouge Park,Nalini Jeewaraja,416-396-5757,,,
Fantasia Child Care Center (2724826 Ontario Inc),678 Sheppard Ave W,,York Centre,Oleksandra Polonska,416-519-3400,,,fantasiachildcarecenter.com
Faywood Boulevard Child Care Centre,95 Faywood Blvd,Wilson Heights/Wilson Ave.,York Centre,Neyda Alvarez,416-633-8420,,,
Fenside Drive Children's Centre,131 Fenside Dr,Victoria Pk/York Mills,Don Valley East,Sue Schanderl,416-444-2441,,,uppercanadachildcare.com
Ferncliff Daycare And After School Group,128 Fern Ave,Roncesvalles/Queen W.,Parkdale-High Park,Dayna Drago,416-588-1463,,,
Finch Business Park Child Care,"1183A Finch Ave W, 100",Finch W./Keele St.,York Centre,Marissa Lazzaro,416-739-1478,,,
Finch Flyers Child Care Program,277 Finch Ave E,Finch W./Bayview,Willowdale,Elana Kuran,416-225-8778,,,
"Firgrove Public School, Extended Day Program",270 Firgrove Cres,Jane/Finch,Humber River-Black Creek,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Firgrove Satellite Early Learning & Child Care Centre,270 Firgrove Cres,Jane/Finch,Humber River-Black Creek,Nicola Wright,416-392-6259,,,toronto.ca/children/telccs
First Stage - Burnhamthorpe,500 The East Mall,The East Mall/Burnhamthorpe,Etobicoke Centre,Ambreen Pirzada,416-394-7534,,,
First Stage Child Care Centre - Highfield,85 Mount Olive Dr,Kipling/Finch W.,Etobicoke North,Erica Catic-Kozo,416-746-6847,,,
First Stage - North Albion,2580 Kipling Ave,Kipling/Finch W.,Etobicoke North,Carly Buczkowski,416-394-4688,,,
First Stage - West Humber,1675 Martin Grove Rd,Martingrove/Finch W.,Etobicoke North,Rita Owusu-Afriyie,416-394-7515,,,
Flemingdon Early Learning & Child Care Centre,29 St Dennis Dr,Don Mills/Eglinton,Don Valley East,Aspasia - Stacy Charalambous,416-392-3170,,,toronto.ca/children/telccs
Fleming Junior YMCA,22 Littles Rd,Sheppard/Morningside,Scarborough-Rouge Park,Frances Garcia,416-287-8534,,,ymcatoronto.org
Follow The Child,"462 Birchmount Rd, Unit #20",Birchmount Rd./Danforth Rd.,Scarborough Southwest,Fareeha Aslam,647-347-7651,,,followthechild.webs.com
Forest Manor YMCA,25 Forest Manor Rd,Don Mills/Sheppard,Don Valley North,Christina Hanna,416-773-1958,,,
Frankland Day Care Centre,816 Logan Ave,Logan/Danforth Ave.,Toronto-Danforth,Micheline Richard,416-463-1413,,,franklanddaycare.ca
Fraser Mustard Early Learning Centre,82 Thorncliffe Park Dr,Overlea/Thorncliffe Pk Dr.,Don Valley West,Sophia Creary,416-421-7676,,,childdevelop.ca
Fraser School - Community Day Care Centre,79 Manning Ave,Queen W./Bathurst,Spadina-Fort York,Maria Lawrence,416-603-7372,,,
French Connection,40 Erskine Ave,Yonge/Eglinton,Don Valley West,Mariam Roghani,416-485-1678,,,
Friendly Little Campus (2037711 Ontario Ltd),"3255 Lawrence Ave E, A",Lawrence E./McCowan,Scarborough Centre,Arosha Karunathilake,416-431-3233,,,
Friendly Little Campus Daycare 2,63 Orchard Park Dr,Kingston Rd./Morningside,Scarborough-Rouge Park,Salma Rahman,416-282-5556,,,flcdaycare.com
Friends Day Care Centre,60 Lowther Ave,Bloor/Bedford,University-Rosedale,Lorna Meggitt,416-922-7022,,,friendsdaycare.ca
Future Stars Child Care Centre,3895 Lawrence Ave E,Lawrence E./Orton Park,Scarborough-Guildwood,Tamiko Gray,416-431-3898,,,
Galloway Early Learning & Child Care Centre,4299 Kingston Rd,Galloway/Kingston Rd.,Scarborough-Guildwood,Victoria Moosaie,416-392-5229,,,toronto.ca/children/telccs
Gan Chabad Preschool,147 Overbrook Pl,,York Centre,Leanne Boros,416-635-9696,,,ganchabad.ca
Gan Sameach,585 Glengrove Ave,Eglinton Ave/Glengrove Ave W,Eglinton-Lawrence,Sarah Binder,416-826-7955,,,
Gan Shalom Preschool (OpChabad On The Avenue),157 Falkirk St,,Eglinton-Lawrence,Chana Gansburg,416-546-8770,,,
Gan Yeladim Day Care Centre,100 Elder St,Sheppard W/Wilmington Ave.,York Centre,Galina Bagga,416-638-1796,,,
Garderie Chez Tante Laure,339 Alton Towers Cir,McCowan/McNicoll,Scarborough North,Ntumba  Jackie Badibanga,416-284-7185,,,
Garderie Chez Tante Laure 2,255 Coronation Dr,,Scarborough-Rouge Park,Geannine Kabila,416-283-0060,,,
Garderie Du Cercle De L'Amitie - Etobicoke,30 Thistle Down Blvd,Islington/Albion,Etobicoke North,Nrushago Mbanianga,416-740-1074,,,
Garderie Du Soleil Levant,116 Cornelius Pky,Keele St/Lawrence West,York South-Weston,Sifa Mujynya Mupipi,416-551-7072,,,
Garderie La Farandole Felix-Leclerc,50 Celestine Dr,Kipling/Dixon,Etobicoke Centre,Bibi Lollmohamud,647-438-9139,,,garderielafarandole.com
Garderie La Farandole Gabrielle Roy,14 Pembroke St,Jarvis/Shuter,Toronto Centre,Charleine Mujynya,416-363-1841,,,garderielafarandole.com
Garderie La Farandole - Pierre Elliott Trudeau,77 Grace St,Bathurst/College,University-Rosedale,Salimata Diallo,416-603-6062,,,garderielafarandole.com
Garderie Mon Petit Jardin,500 Sandhurst Cir,Finch E./McCowan,Scarborough North,Yalda Lie Chatelain Aristilde,416-397-6982,,,
Garderie Rayon De Soleil,1 Ness Dr,York Mills/Victoria Pk.,Don Valley East,Agnes Sesboue,416-444-3464,,,
Garfield Avenue Children's Circle,1 1/2 Garfield Ave,Mount Pleasant/St. Clair E.,University-Rosedale,Maria Samuels,416-963-9242,,,
Garrison Creek Community Day Care,222 Niagara St,King W./Bathurst,Spadina-Fort York,Rana Said,416-703-0541,,,
Gateway Day Care Centre,"100 Leeward Glenway, Grnd Flr",Gateway/Don Mills,Don Valley East,Pricella Rasanayagam,416-424-2419,,,
General Mercer Early Learning Centre,30 Turnberry Ave,Old Weston/St. Clair,Davenport,Lasheka Packkiyarajah,416-658-1699,,,
George Brown - Casa Loma Child Care Centre,160 Kendal Ave,Davenport/Spadina,Toronto-St. Paul's,Laura Alexopoulos,416-415-4616,,,
George Brown College - Mary's Place Child Care Centre,185 Queens Quay E,,Spadina-Fort York,Stephanie Dritsas,416-415-5000,4301,,
George Brown - Dennis Avenue Child Care Centre,17 Dennis Ave,Eglinton/Weston Road,York South-Weston,Eftychia Ntanou,647-289-1392,,,
George Brown - Dundas Street East Child Care Centre,935 Dundas St E,Dundas/Broadview,Toronto-Danforth,Raizell Slobodsky,416-415-2453,,,
George Brown - Elmlea,50 Hadrian Dr,,Etobicoke North,Andrea Prifti,416-922-8827,,,
George Brown - Fashion District/Ryerson Child Care Centre,96 Denison Ave,Dundas W./Bathurst,Spadina-Fort York,Laura Alexopoulos,416-415-4616,,,
George Brown - Nelson Mandela Child Care Centre,440 Shuter St,Yonge/Dundas,Toronto Centre,Raizell Slobodsky,416-415-2450,,,
George Brown - Richmond Adelaide Childcare Centre,"130 Adelaide St W, Mezzanine Level",York St./Adelaide St.,Spadina-Fort York,Jacqueline Cook,416-415-2453,,,
George Brown - Rose Avenue Child Care Centre,675 Ontario St,Parliament/Wellesley,Toronto Centre,Andrea Prifti,416-922-8827,,,
George Webster Jr YMCA,50 Chapman Ave,Chapman Ave/Avis Cres,Beaches-East York,Jennifer Armstrong,416-288-0997,,,ymcatoronto.org
Gerrard Early Learning Centre,163 Gerrard St E,Gerrard St. E./Jarvis,Toronto Centre,Wei Wei Wang,416-926-2208,,,
Gibraltar Point Day Nursery Inc.,30 Centre Island Pk,Hanlans Point/Toronto Island,Spadina-Fort York,Monkhouse Jessica,416-393-1907,,,gibraltarpointdaycare.com
Gilder Early Learning & Child Care Centre,31 Gilder Dr,Midland/Eglinton,Scarborough Centre,Carolina Lovato-Mejia,416-392-5696,,,toronto.ca/children/telccs
Gilder Satellite Early Learning & Child Care Centre,47 Gilder Dr,Midland/Eglinton,Scarborough Centre,Carolina Lovato-Mejia,416-392-3743,,,toronto.ca/children/telccs
Givins/Shaw School Community Day Care,49 Givins St,Queen W./Shaw,Spadina-Fort York,Jessica Adams,416-531-4628,,,
Glamorgan School Age YMCA,51 Antrim Cres,Kennedy/Hwy. 401,Scarborough Centre,Jameelah Cayenne,647-438-7124,,,
Gledhill Avenue Child Care Centre,2 Gledhill Ave,Danforth Ave./Woodbine,Beaches-East York,Ashley Gayle,647-325-8417,,,
Glen Cameron For Kids,211 Cameron Ave,Yonge/Sheppard,Willowdale,Mary Davis,416-225-5788,,,
"Glen Ravine Junior Public School, Extended Day Program",11 Gadsby Dr,Eglinton Ave E/Brimley Rd,Scarborough Centre,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Gold Circle Early Childhood Day Care Centre,25 Poynter Dr,Islington/The Westway,Etobicoke Centre,Halrick Campbell,416-241-2000,,,
Golf Road School Child Care Centre Inc.,730 Scarborough Golf Club Rd,Scarb. Golf Club/Lawrence E.,Scarborough-Guildwood,Morsal Morsal,416-289-1061,,,golfroadschoolccc.com
Good Shepherd Day Care Centre,2230 Birchmount Rd,Birchmount/Sheppard E.,Scarborough-Agincourt,June Cheng,416-293-5631,,,
Grace Christian School - Day Nursery,201 Tempo Ave,Victoria Park/Finch E.,Don Valley North,Mee Fung Ng,416-502-1540,,,
Grace Church On-The-Hill Child Care Centre,300 Lonsdale Rd,Spadina/St. Clair W.,Toronto-St. Paul's,Katy Kabiri,416-932-3502,,,
Grand Avenue Montessori School - 600,600 The Queensway,Queensway/Park Lawn Rd.,Etobicoke-Lakeshore,Carmen Shave,416-706-7224,,,gamontessorischool.com
Grand Avenue Montessori School - 602,602 The Queensway,Queensway/Park Lawn Rd.,Etobicoke-Lakeshore,Katherine Shave-Venture,416-247-9485,,,gamontessorischool.com
Graydon Hall Child Care Services In Don Valley Business Park,"150 Ferrand Dr, Suite 102",Don Mills/Eglinton E.,Don Valley East,Charlene Maikantis,416-429-5444,,,ghns.ca
Green Apple Kids,3605 Dundas St W,Dundas W./Jane,Parkdale-High Park,Linda Martin,416-570-6096,,,greenapplekids.ca
Greenland Recreational After School Program,15 Greenland Rd,The Donway East/Don Mills,Don Valley East,Kathy Allagas Da Silva,416-444-7427,,,greenlandrecreational.com
Greenwood Montessori School,38 Payzac Ave,Kingston/Galloway,Scarborough-Guildwood,Elizabeth Afolabi-Aiyelokun,416-281-9208,,,kidslovedaycare.ca
"Grey Owl Junior Public School, Extended Day Program",150 Wickson Trail,Neilson Rd/Sheppard Ave E,Scarborough-Rouge Park,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Growing Tykes Child Care,4105 Lawrence Ave E,Lawrence E./Galloway,Scarborough-Guildwood,Andrea Bacon,416-438-5989,,,
